textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),cleaned_text,tokens
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346.0,652860.0,60.0,last session day,"['last', 'session', 'day']"
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,noon,21-30,Albania,2877797.0,27400.0,105.0,shanghai also really exciting precisely skyscraper galere good sweeps china,"['shanghai', 'also', 'really', 'exciting', 'precisely', 'skyscraper', 'galore', 'good', 'tweeps', 'china']"
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,night,31-45,Algeria,43851044.0,2381740.0,18.0,recession hit veronique branquinho quit company shame,"['recession', 'hit', 'veronique', 'branquinho', 'quit', 'company', 'shame']"
01082688c6, happy bday!,positive,morning,46-60,Andorra,77265.0,470.0,164.0,happy birthday,"['happy', 'birthday']"
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,noon,60-70,Angola,32866272.0,1246700.0,26.0,like,['like']
726e501993, that`s great!! weee!! visitors!,positive,night,70-100,Antigua and Barbuda,97929.0,440.0,223.0,great were visitor,"['great', 'weee', 'visitor']"
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,morning,0-20,Argentina,45195774.0,2736690.0,17.0,think everyone hate laughing loud,"['think', 'everyone', 'hate', 'laughing', 'loud']"
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,noon,21-30,Armenia,2963243.0,28470.0,104.0,soooooo wish could school space completely blocked,"['soooooo', 'wish', 'could', 'school', 'myspace', 'completely', 'blocked']"
e64208b4ef, and within a short time of the last clue all of them,neutral,night,31-45,Australia,25499884.0,7682300.0,3.0,within short tear eye last clue,"['within', 'short', 'tear', 'eye', 'last', 'clue']"
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,morning,46-60,Austria,9006398.0,82400.0,109.0,get day alright done anything yet leaving soon stepsister though,"['get', 'day', 'alright', 'done', 'anything', 'yet', 'leaving', 'soon', 'stepsister', 'though']"
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,noon,60-70,Azerbaijan,10139177.0,82658.0,123.0,bike put holdshould known arch total summer,"['bike', 'put', 'holdshould', 'known', 'argh', 'total', 'bummer']"
43b390b336, I checked.  We didn`t win,neutral,night,70-100,Bahamas,393244.0,10010.0,39.0,checked win,"['checked', 'win']"
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0,twitter tavern bore much,"['twitter', 'tavern', 'bore', 'much']"
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,noon,21-30,Bangladesh,164689383.0,130170.0,1265.0,weekend youngest son turn tomorrow make kind sad getting big check topics,"['weekend', 'youngest', 'son', 'turn', 'tomorrowit', 'make', 'kind', 'sad', 'getting', 'big', 'check', 'twipics']"
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,night,31-45,Barbados,287375.0,430.0,668.0,coming socket feel like phone hole virgin loose,"['coming', 'socket', 'feel', 'like', 'phone', 'hole', 'virgin', 'loose']"
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,morning,46-60,Belarus,9449323.0,202910.0,47.0,hot today like hate new timetable bad week,"['hot', 'today', 'like', 'hate', 'new', 'timetable', 'bad', 'week']"
